order_id,subscription_id,order_date,gross_amount,checkout_metadata
4788edaf-799c-4297-bf29-fe793c8715da,f8729566-37a5-4bbb-bb55-4dd45781744d,2024-05-10 00:00:00,842.4,"{""currency"": ""GBP"", ""exchange_rate"": 1.17, ""tax_percentage"": null}"
d88dc935-619c-4985-a934-d9c868b1f6b4,eba61559-83a3-4aa4-9be8-15c98c8109d3,2025-05-10 00:00:00,842.4,"{""currency"": ""GBP"", ""exchange_rate"": 1.17, ""tax_percentage"": null}"
5c5de2b5-7eca-48c8-95e4-3e44205d91df,02584100-7b29-4ef6-9760-6422fd09c902,2023-10-04 00:00:00,480,"{""currency"": ""EUR"", ""exchange_rate"": 1.0, ""tax_percentage"": null}"
0e1f7fe9-32da-40bf-8bd4-235ebb8384c2,3b8d824a-044c-47bc-9843-0e79a90a8d2a,2024-10-03 00:00:00,960,"{""currency"": ""EUR"", ""exchange_rate"": 1.0, ""tax_percentage"": null}"
6468fad2-3eae-42aa-b91f-5ee5cb8f22c2,6943caa7-433d-490c-a65c-072d2b137e12,2025-10-03 00:00:00,960,"{""currency"": ""EUR"", ""exchange_rate"": 1.0, ""tax_percentage"": null}"
6f8bd712-bdb2-42d9-9fef-c9a0237d5411,9cb3eee8-d0fd-47d7-bf39-fc5febb457a2,2023-05-10 00:00:00,662.4,"{""currency"": ""USD"", ""exchange_rate"": 0.92, ""tax_percentage"": null}"
83de29ec-3185-461c-9d7c-926585f4c8b1,b70cc9cb-7dcd-4a81-b589-3d82b7b79a8c,2024-05-09 00:00:00,662.4,"{""currency"": ""USD"", ""exchange_rate"": 0.92, ""tax_percentage"": null}"
42245dd2-ee2b-4e91-af1b-5851ed3abbd1,c64939e3-ba5e-48c5-a244-2ebc569a79ea,2023-12-18 00:00:00,280.8,"{""currency"": ""GBP"", ""exchange_rate"": 1.17, ""tax_percentage"": null}"
8fd816d0-6c5d-4e2e-876b-138fd4d029e1,1346a31e-7aaa-4a59-b40c-150c3f237c93,2023-11-21 00:00:00,280.8,"{""currency"": ""GBP"", ""exchange_rate"": 1.17, ""tax_percentage"": null}"
155e80ae-a2f8-4be2-b8c6-191b3e3c80dd,1deda9f7-ee71-45a7-a577-04237dc0effe,2024-11-20 00:00:00,561.6,"{""currency"": ""GBP"", ""exchange_rate"": 1.17, ""tax_percentage"": null}"
